ano,regiao,consultas_sns,capic_sns,prevalencia_ine,ansiedade_2024_ine,ase_percent_min_educ,retencao_min_educ,google_interest_score,spending_eurostat
2018,Alentejo,77494.0,20951,,,,,,1868.79
2018,Algarve,58657.0,20951,,,,,,1868.79
2018,Centro,279793.0,20951,,,,,,1868.79
2018,Lisboa e Vale do Tejo,882257.0,20951,,,,,,1868.79
2018,Norte,468850.0,20951,,,,,,1868.79
2019,Alentejo,77870.0,20104,1073364.0,,,,,1969.7
2019,Algarve,53117.0,20104,1073364.0,,,,,1969.7
2019,Centro,298927.0,20104,1073364.0,,,,,1969.7
2019,Lisboa e Vale do Tejo,859529.0,20104,1073364.0,,,,,1969.7
2019,Norte,525247.0,20104,1073364.0,,,,,1969.7
2020,Alentejo,67287.0,20704,,,,1.3795058663627682e+16,,2036.63
2020,Algarve,67732.0,20704,,,,1.0045872718745948e+16,,2036.63
2020,Centro,273586.0,20704,,,,1.1913348409382282e+16,,2036.63
2020,Lisboa e Vale do Tejo,869878.0,20704,,,,1.2460264484157292e+16,,2036.63
2020,Norte,560869.0,20704,,,,1.1872207915771684e+16,,2036.63
2021,Alentejo,69770.0,22142,,,657563025210084.0,1.7192099855943038e+16,2300716.0172104146,2333.97
2021,Algarve,75572.0,22142,,,6925566343042071.0,9565217177505080.0,2300716.0172104146,2333.97
2021,Centro,346067.0,22142,,,7377860235003092.0,1.188065952284112e+16,2300716.0172104146,2333.97
2021,Lisboa e Vale do Tejo,1003238.0,22142,,,5865384615384615.0,8904022916218034.0,2300716.0172104146,2333.97
2021,Norte,624648.0,22142,,,763668088406359.0,1.1224957589547076e+16,2300716.0172104146,2333.97
2022,Alentejo,73671.0,20614,,,7465753424657534.0,8119265056563625.0,2582809.716738886,2458.3
2022,Algarve,58239.0,20614,,,6936619718309859.0,1.128628188184354e+16,2582809.716738886,2458.3
2022,Centro,365128.0,20614,,,7956777996070727.0,1.540395372854377e+16,2582809.716738886,2458.3
2022,Lisboa e Vale do Tejo,965339.0,20614,,,3746209994385177.0,8586829892603306.0,2582809.716738886,2458.3
2022,Norte,620328.0,20614,,,8238027884421095.0,1.086454397943548e+16,2582809.716738886,2458.3
2023,Alentejo,87092.0,19863,,,6793168880455408.0,8760647079879660.0,2617208.0,2539.79
2023,Algarve,69524.0,19863,,,6656716417910448.0,6852102189010772.0,2617208.0,2539.79
2023,Centro,362273.0,19863,,,7352216748768473.0,1.58279041411367e+16,2617208.0,2539.79
2023,Lisboa e Vale do Tejo,1020963.0,19863,,,6037246581801037.0,8313835787519811.0,2617208.0,2539.79
2023,Norte,697751.0,19863,,,7741867342627798.0,1.197673187669553e+16,2617208.0,2539.79
2024,Alentejo,105710.0,20159,,32.0,,,2390345.174236345,2730.81
2024,Algarve,62838.0,20159,,32.0,,,2390345.174236345,2730.81
2024,Centro,352149.0,20159,,32.0,,,2390345.174236345,2730.81
2024,Lisboa e Vale do Tejo,1046792.0,20159,,32.0,,,2390345.174236345,2730.81
2024,Norte,742087.0,20159,,32.0,,,2390345.174236345,2730.81
2025,Alentejo,118623.0,22556,,,,,2082705.0,
2025,Algarve,57822.0,22556,,,,,2082705.0,
2025,Centro,356331.0,22556,,,,,2082705.0,
2025,Lisboa e Vale do Tejo,1175495.0,22556,,,,,2082705.0,
2025,Norte,908937.0,22556,,,,,2082705.0,
